smiles,alter,number,group,CAS
C1=CC(=CC=C1C2=CC=C(C=C2)N)C3=CC=C(C=C3)N  ,0,41,N,
CC1=CC(=C(C=C1C2=CC=C(C=C2)N)C)C3=CC=C(C=C3)N  ,0,42,N,
CCSCC1=CC(=C(C=C1C2=CC=C(C=C2)N)CSCC)C3=CC=C(C=C3)N  ,0,43,N,
C1=CC(=CC=C1C2=CC=C(C=C2)C3=CC=C(C=C3)N)C4=CC=C(C=C4)N  ,0,44,N,
C1=CC2=CC(=CC3=C2C4=C(C=C3)C=C(C=C41)N)N  ,0,45,N,
C1=CC(=CC2=CC3=C(C=C21)C=C(C=C3)N)N  ,0,46,N,
C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2C4=CC=C(C=C4)N)C5=CC=C(C=C5)N  ,0,47,N,
C1=C2C(=CC3=C1C(=O)N(C3=O)N)C(=O)N(C2=O)N  ,0,48,N,
C1=CC2=C(C=C1N)S(=O)(=O)C3=CC4=C(C=C23)S(=O)(=O)C5=C4C=CC(=C5)N  ,0,49,N,
C1=CC(=NC=C1N)C2=NC=C(C=C2)N  ,0,50,N,
C1=CC(=CC=C1N)[N+]2=CC=C(C=C2)C3=CC=[N+](C=C3)C4=CC=C(C=C4)N.[Cl-].[Cl-]  ,0,51,N,
C1=C2C(=CC3=C1SC(=N3)N)SC(=N2)N  ,0,52,N,
C1(=NC(=NN1)N)C2=NC(=NN2)N  ,0,53,N,
C1C(CC1N)N.Cl.Cl  ,0,54,N,
C1=CC(=CC=C1C#CC2=CC=C(C=C2)N)N  ,0,55,N,
C1=CC(=CC=C1C#CC#CC2=CC=C(C=C2)N)N  ,0,56,N,
C1=CC(=CC=C1N)N=NC2=CC=C(C=C2)N  ,0,57,N,
C1=CC(=CC=C1N)OCCOC2=CC=C(C=C2)N  ,0,58,N,
C1=CC(=CC=C1C=O)C2=CC(=C(C=C2C#CC3=CC=C(C=C3)N)C4=CC=C(C=C4)C=O)C#CC5=CC=C(C=C5)N  ,0,59,N,
C1=C(C=C2C3=C1C(=O)C(=O)C4=C3C(=CC(=C4)N)C(=O)C2=O)N  ,0,60,N,
CC1=C(C2=CC=CC=C2C(=C1)C3=CC(=C(C4=CC=CC=C43)N)C)N  ,0,61,N,
C1=CC(=CC=C1N)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=C(C=C6)N)C2=O  ,0,62,N,
C1=C(N=C(S1)N)C2=CSC(=N2)N  ,0,63,N,
C1=CC(=C(C=C1N)C(=O)O)C2=C(C=C(C=C2)N)C(=O)O  ,0,64,N,
C1=CC(=CC=C1/C=C/C2=CC=C(C=C2)N)N  ,0,65,N,
C1=C(C(=N)N)C=NC(C2=CC=C(C(=N)N)C=N2)=C1.[H]Cl.[H]Cl,0,66,N,
NC1C=C2C(=CC=1)N=C(C1SC3C=C(C=CC3N=1)N)S2,0,67,N,
C1=CC(=CC=C1N)[Te][Te]C2=CC=C(C=C2)N  ,0,68,N,
C1=CC(=CC=C1C2=CC=C(C=C2)NC(=S)N)NC(=S)N  ,0,69,N,
C1=CC(=CC=C1C2=NC3=CC4=C(C=C3O2)OC(=N4)C5=CC=C(C=C5)N)N  ,0,70,N,
C1=CN=C(C=C1C2=CC(=NC=C2)N)N  ,0,71,N,
C1=CC(=CC=C1C2=C(C=C(C=C2)N)C(=O)O)C3=C(C=C(C=C3)N)C(=O)O  ,0,72,N,
NC1C=CC(C2C=C(CCC)C(C3C=CC(=CC=3)N)=CC=2CCC)=CC=1,0,73,N,
C(C1=C(C(=C(C(=C1F)F)CN)F)F)N  ,0,74,N,
C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCN)C(=O)N(C2=O)CCN  ,0,75,N,
C1=CC(=CC=C1C2=CN=C(C=C2)C3=NC=C(C=C3)C4=CC=C(C=C4)N)N  ,0,76,N,
C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Br)Br)N  ,0,77,N,
C1=CC(=CC=C1N)[Se][Se]C2=CC=C(C=C2)N  ,0,78,N,
C1=CC2=C(C=CC3=C2C4=C1C=CC(=C4C=C3)N)N  ,0,79,N,
C1=CC(=C(C=C1C(=O)NN)N)C(=O)NN  ,0,80,N,
COC1=CC(=C(C=C1C2=CC=C(C=C2)N)OC)C3=CC=C(C=C3)N  ,0,81,N,
C1(=NN=C(N=N1)N)N  ,0,82,N,
C1=CC(=CC=C1NC(=S)N)NC(=S)N  ,0,83,N,
C1=CC2=C(C=CC(=C2)N)C=C1N  ,0,84,N,
C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)N)C(=O)N(C2=O)N  ,0,85,N,
C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)N)C(=O)N(C2=O)N  ,0,86,N,
C1=CC(=CC=C1C2=CC3=C4C(=C2)C=CC5=CC(=CC(=C54)C=C3)C6=CC=C(C=C6)N)N  ,0,87,N,
C1=CC(=CC=C1C2=CC(=C(C=C2C(=O)O)C3=CC=C(C=C3)N)C(=O)O)N  ,0,88,N,
C1=CC(=CC=C1C#CC2=CC=C(C=C2)N)C#CC3=CC=C(C=C3)N  ,0,89,N,
C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2C#CC4=CC=C(C=C4)N)C#CC5=CC=C(C=C5)N  ,0,90,N,
C1=CC=C(C=C1)/C(=C(/C2=CC=CC=C2)\C3=CC=C(C=C3)N)/C4=CC=C(C=C4)N  ,0,91,N,
C1=CC(=C(C=C1C2=CC(=C(C=C2)N)O)O)N  ,0,92,N,
C1=CC(=C(C=C1C2=CC(=C(C=C2)N)S)S)N  ,0,93,N,
C1=CC(=C(C=C1C2=CC(=C(C=C2)N)F)F)N  ,0,94,N,
C1=CC(=CC=C1C2=CC(=C(C=C2O)C3=CC=C(C=C3)N)O)N  ,0,95,N,
C1=C(C(=O)C=C(C1=O)N)N  ,0,96,N,
C1=CC(=CC=C1C2=CN=C(C=C2)N)C3=CN=C(C=C3)N  ,0,97,N,
COC(=O)C1=C(C=CC(=C1)N)C2=C(C=C(C=C2)N)C(=O)OC  ,0,98,N,
C#CCOC1=CC(=C(C=C1C(=O)NN)OCC#C)C(=O)NN,0,99,N,
C1=C(C=C(C(=C1Br)N)Br)C2=CC(=C(C(=C2)Br)N)Br  ,0,100,N,
CC(C)C1=CC(=CC(=C1N)C(C)C)C2=CC(=C(C(=C2)C(C)C)N)C(C)C  ,0,101,N,
C1=C(C(=CC(=C1F)N)F)N  ,0,102,N,
C1=CC(=C(C=C1C2=CC(=C(C=C2)N)[N+](=O)[O-])[N+](=O)[O-])N  ,0,103,N,
C1=CC(=NC=C1C(=O)NN)C2=NC=C(C=C2)C(=O)NN  ,0,104,N,
C1=C(N=CC(=N1)C(=O)NN)C(=O)NN  ,0,105,N,
C1=CC(=NC=C1C(=O)NN)C(=O)NN  ,0,106,N,
C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2C4=CC=C(C=C4)C(=O)NN)C5=CC=C(C=C5)C(=O)NN  ,0,107,N,
C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)NN)C(=O)NN  ,0,108,N,
C1=CC(=NC=C1C(=N)N)C2=NC=C(C=C2)C(=N)N  ,0,109,N,
C1=CC(=CC=C1C2=CC=C(C=C2)C(=N)N)C3=CC=C(C=C3)C(=N)N  ,0,110,N,
C1=CC(=NC=C1C2=CN=C(C=C2)N)N  ,0,111,N,
C1=CC(=C(C=C1C2=CC(=C(C=C2)N)C(F)(F)F)C(F)(F)F)N  ,0,112,N,
C1=CC(=C(C=C1C2=CC(=C(C=C2)N)C(=O)O)C(=O)O)N  ,0,113,N,
C1(=C(C(=C(C(=C1F)F)N)F)F)C2=C(C(=C(C(=C2F)F)N)F)F  ,0,114,N,
COC1=CC(=C(C=C1N)OC)N  ,0,115,N,
C1CN(CCN1C2=CC=C(C=C2)N)C3=CC=C(C=C3)N  ,0,116,N,
CC1=C(C=CC(=C1)N)C2=CC=C(C=C2)C3=C(C=C(C=C3)N)C  ,0,117,N,
C1=CC(=CC=C1C2=NC3=C(S2)N=C(S3)C4=CC=C(C=C4)N)N  ,0,118,N,
CN(C)CCOC1=CC(=C(C=C1C(=O)NN)OCCN(C)C)C(=O)NN  ,0,119,N,
CCCOC1=CC(=C(C=C1C(=O)NN)OCCC)C(=O)NN  ,0,120,N,
CC(C)COC1=CC(=C(C=C1C(=O)NN)OCC(C)C)C(=O)NN  ,0,121,N,
CCCCOC1=CC(=C(C=C1C(=O)NN)OCCCC)C(=O)NN  ,0,122,N,
C(#N)C1=C(N=C(C(=N1)N)C#N)N  ,0,123,N,
C1=CC(=CC=C1C(=O)C#N)C(=O)C#N  ,0,124,N,
C1=CC(=CC=C1/C=C/C#N)/C=C/C#N  ,0,125,N,
C1=CC(=CC=C1C2=CC=C(C=C2)O)O,0,1,O,92-88-6
CC(C)(C(=O)[O-])C(=O)[O-],0,2,O,
C1=CC(=CC=C1NC(=O)C#N)NC(=O)C#N  ,0,3,O,
C1=CC(=CC=C1OCC=O)OCC=O  ,0,4,O,
CC(C)[C@H](CC(=O)O)C1=NC=C(N1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CN=C(N4)[C@@H](CC(=O)O)C(C)C  ,0,5,O,
C(=CC(=O)N)C=CC(=O)N  ,0,6,O,
C(CCC(=O)[O-])CC(=O)[O-]  ,0,7,O,
C1=C(C2=C1C(=C2)C(=O)O)C(=O)O  ,0,8,O,
C1=CC(=CC=C1C(C(=O)O)O)C(C(=O)O)O  ,0,9,O,
C(CC#CC#CCCCC(=O)O)CC(=O)O  ,0,10,O,
C(CO)NC(=O)C(=O)NCCO  ,0,11,O,
C1=C(N=CC(=N1)C=O)C=O  ,0,12,O,
C1=C(N=CC(=N1)C(=O)Cl)C(=O)Cl  ,0,13,O,
CC(=O)C1=CC(=C(C=C1OC)C(=O)C)OC  ,0,14,O,
C1=CC(=CC=C1C[NH+]=C=O)C[NH+]=C=O  ,0,15,O,
C(CCC(=O)O)C/C=C/CCCCC(=O)O  ,0,16,O,
C(CC(=O)OCCOC(=O)CCC=O)C=O  ,0,17,O,
C1=CC2=C(C=C1[N+](=O)[O-])C(=O)NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2  ,0,18,O,
C1C(C(=O)N(C1=O)OC(=O)CCCCCCC(=O)ON2C(=O)CC(C2=O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]  ,0,19,O,
C1(C(=O)NC(C(=O)N1)O)O  ,0,20,O,
C1C[C@H](N(C1)N2CCCC2C(=O)O)C(=O)O  ,0,21,O,
C1CC(=NNC(=O)N)CCC1=NNC(=O)N  ,0,22,O,
C1=CC(=CC=C1C(=O)O)C(=O)O  ,1,23,O,
C1=CC=C(C(=C1)C(=O)NCCO[N+](=O)[O-])SSC2=CC=CC=C2C(=O)NCCO[N+](=O)[O-]  ,0,24,O,
C1=CC(=CC=C1/C=C/N=C=O)/C=C/N=C=O  ,0,25,O,
C(CCN=C=O)CN=C=O  ,0,26,O,
C(CCOC(=O)[O-])COC(=O)O  ,0,27,O,
C(CC=O)C=CCCC=O  ,0,28,O,
C/C(=C\C=C\C=C\C=C\C=C(\C=O)/C)/C=O  ,0,29,O,
C(CNC(=O)C(=O)NCCCO)CO  ,0,30,O,
C1CC(CCC1CNC(=O)C2=CC=CC=C2)CNC(=O)C3=CC=CC=C3  ,0,31,O,
CC(=O)NC1=NN=C(S1)CCCCCCCCC2=NN=C(S2)NC(=O)C  ,0,32,O,
CCNC1=CC(=C(C=C1C(=O)O)NCC)C(=O)O  ,0,33,O,
C(CN1C(=N)C(SC1=S)C(=O)N)N2C(=N)C(SC2=S)C(=O)N  ,1,34,O,
[C@@H]([C@@H](C(=O)O)S)(C(=O)O)S  ,0,35,O,
C(CC(=O)O)CC(=O)OOC(=O)CCCC(=O)O  ,0,36,O,
C1=C(N=CC(=N1)N=C=O)N=C=O  ,0,37,O,
[C@@H]([C@@H](C(=O)N)O)(C(=O)N)O  ,0,38,O,
C1=CC2=C(NC(=O)C3=C(NC2=O)N=CC=C3)N=C1 ,0,39,O,
C1=C(C=C1C(=O)O)C(=O)O  ,0,40,O,
C1=CC(=CC=C1OC(=O)Cl)OC(=O)Cl  ,0,41,O,
C(C[C@@H](C(=O)O)N)[C@H](C(=O)O)N  ,0,42,O,
C1=CC(=CC=C1/C=C/C2=CC=C(C=C2)C(=O)N)C(=O)N  ,0,43,O,
C#CC(=O)CCCCC(=O)C#C  ,0,44,O,
C1=CC2=C(C=CC1=O)C(=O)C3=C(C2=O)C=CC(=O)C=C3  ,0,45,O,
C(CC(=O)O)CNC(=O)C(=O)NCCCC(=O)O  ,0,46,O,
C(=C/N=C=O)\N=C=O  ,0,47,O,
C(=C/C(=O)[O-])\C(=O)[O-]  ,0,48,O,
C1=CC(=CC=C1C=O)C=O  ,0,49,O,
C1=CC2=C(C=C1NC(=O)O)C(=O)C3=C(C2=O)C=C(C=C3)NC(=O)O  ,0,50,O,
COC(=O)C1=CC(=C(C=C1N)C(=O)OC)N  ,0,51,O,
C(C(C(CNC(=O)[O-])O)O)NC(=O)[O-]  ,0,52,O,
C(CSSCCC(C(=O)O)N)[C@@H](C(=O)O)N  ,0,53,O,
C(=O)(C(=O)[O-])[O-]  ,0,54,O,
C1=CC(=CC=C1NC(=O)CCC(=O)O)SSC2=CC=C(C=C2)NC(=O)CCC(=O)O  ,0,55,O,
C(/C=C/CC(=O)O)C(=O)O  ,0,56,O,
C1=CC(=CC=C1C(=O)OO)C(=O)OO  ,0,57,O,
C1=CC(=CC(=C1)C#CC2=CC=CC(=C2)C=O)C=O  ,0,58,O,
C(NC(=O)/C=C/C(=O)NCO)O  ,0,59,O,
C12C(C(C(=O)O1)O)OC(=O)C2O  ,0,60,O,
C1=C(OC(=C1)[N+](=O)[O-])C2=CC=C(O2)[N+](=O)[O-]  ,0,61,O,
C1C2=C(CNC2=O)C(=O)N1  ,0,62,O,
CC(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)C  ,0,63,O,
C1=CC(=CC=C1CNC(=O)CCC(=O)[O-])CNC(=O)CCC(=O)[O-]  ,0,64,O,
CN(CC=O)N(C)CC=O  ,0,65,O,
C1=CC(=CC=C1/C=C/C(=O)O)/C=C/C(=O)O  ,0,66,O,
CC(=O)C1=CC=CC=C1C2=CC=CC=C2C(=O)C  ,0,67,O,
C1=CC=C(C(=C1)C2=CC=CC=C2C(=O)O)C(=O)O  ,0,68,O,
C(O)C(=O)N/N=C/C=N/NC(=O)CO  ,0,69,O,
CC(=O)NN=C1CCC(=NNC(=O)C)CC1  ,0,70,O,
C(CS(=O)(=O)O)S(=O)(=O)O  ,0,71,O,
C1=CC(=CC=C1/C=C/C2=CC=C(C=C2)O)O  ,0,72,O,
C(CCOCC(=O)O)COCC(=O)O  ,0,73,O,
C/C(=N\O)/C1=CC=C(C=C1)/C(=N/O)/C  ,0,74,O,
C1C=C(CC=C1C(=O)Cl)C(=O)Cl  ,0,75,O,
C1=C2C=C(C=C2C=C1O)O  ,1,76,O,
C(/C(=N/O)/N)C/C(=N/O)/N  ,0,77,O,
C/C(=C\C1=CC=C(C=C1)/C=C(/N=C=O)\C)/N=C=O  ,0,78,O,
C1=CC(=CC=C1/C(=N/O)/N)/C(=N/O)/N  ,0,79,O,
[B]C1=CC(=C(C=C1C(=O)O)[B])C(=O)O  ,0,80,O,
C1=CC(=CC=C1CNC(=O)[O-])CNC(=O)[O-]  ,0,81,O,
C1=CC(=CC=C1C(=O)O)NCCCCCCCCCCNC2=CC=C(C=C2)C(=O)O  ,0,82,O,
C1=CC(=CC(=C1)C(=O)O)C#CC2=CC=C(C=C2)C#CC3=CC(=CC=C3)C(=O)O  ,0,83,O,
C1=CC(=CC=C1CC=O)CC=O  ,0,84,O,
C(CCNC(=O)O)CNC(=O)O  ,0,85,O,
C1=CC(=CC=C1C(=O)NN=O)C(=O)NN=O  ,0,86,O,
C([C@@H]1C(=O)N[C@@H](C(=O)N1)CO)O  ,0,87,O,
C[C@@H](CC[C@H](C)C(=O)O)C(=O)O  ,0,88,O,
C1=CN(C(=N1)C2=NC=CN2CCO)CCO  ,0,89,O,
C1=CC(=CC(=C1)O)C2=CC(=CC=C2)O  ,0,90,O,
CC(=O)C1=CC2=C(C=C1)C3=C2C=CC(=C3)C(=O)C  ,0,91,O,
C(=O)(C(=O)[O-])[O-]  ,0,92,O,
C1=CC(=CC=C1C(=O)OO)C(=O)OO  ,0,93,O,
C(C[C@@H](C(=O)O)N)[C@H](C(=O)O)N  ,1,94,O,
C1=CC(=CC=C1NCC(=O)O)NCC(=O)O  ,0,95,O,
C1=CC(=CC=C1C#CC=O)C#CC=O  ,0,96,O,
C1=CC2=C(C=C1S(=O)(=O)[O-])C(=O)C3=C(C2=O)C=C(C=C3)S(=O)(=O)[O-]  ,0,97,O,
C1=CC(=CC=C1/C=C(\C(=C/C2=CC=C(C=C2)O)\C#N)/C#N)O  ,1,98,O,
C#CC(=O)CCCCC(=O)C#C  ,0,99,O,
CC(C)(C1=CC(=C(C=C1)C(=O)O)N)C2=CC(=C(C=C2)C(=O)O)N  ,0,100,O,
C1=CC(=C(C=C1C2=CC(=C(C=C2)C(=O)[O-])F)F)C(=O)[O-]  ,0,101,O,
C1=CC(=CC=C1/C=C/C=O)/C=C/C=O  ,0,102,O,
C1=COC=C1C(=O)C(=O)C2=COC=C2  ,0,103,O,
C1=CC(=CC=C1C(CO)(F)F)C(CO)(F)F  ,0,104,O,
C(CCC(=O)NCO)CC(=O)NCO  ,1,105,O,
C1=CC(=CC=C1OC(=O)C=O)OC(=O)C=O  ,0,106,O,
C1=CC(=CC=C1C(=O)NCCNC(=O)C2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-]  ,0,107,O,
C1=C2C(=CC3=C1C(=O)N(C3=O)O)C(=O)N(C2=O)O  ,0,108,O,
CC(C1=CC=C(C=C1)C(C)C(=O)O)C(=O)O  ,0,109,O,
C(COC(=O)/C=C/C(=O)OCCO)O  ,0,110,O,
C1=C(C(=CC(=C1N)C(=O)N)N)C(=O)N  ,0,111,O,
COC1=CC(=C(C=C1C=O)OC)C=O  ,0,112,O,
CCOC1=CC(=C(C=C1C(=O)N)OCC)C(=O)N  ,0,113,O,
C(=C/N=C=O)\N=C=O  ,0,114,O,
C=C1C=C(C(=C)C=C1C=O)C=O  ,0,115,O,
C(=O)(C(=O)[N+](=O)[O-])[N+](=O)[O-]  ,0,116,O,
C1=C(N=CC(=N1)[C@H]([C@H]([C@@H](CO)O)O)O)[C@H]([C@H]([C@@H](CO)O)O)O  ,0,117,O,
C1=C(C=C(C(=C1NCO)C2C(C(C2O)C3=C(C=C(C=C3O)O)NC=O)O)O)O  ,0,118,O,
C1=C(C(=CC(=C1N)C(=O)[O-])N)C(=O)[O-]  ,0,119,O,
C1=CC(=CC=C1CC(C(=O)O)N)CC(C(=O)O)N  ,0,120,O,
C1N(C1)/C(=N\O)/C2=CC=C(C=C2)/C(=N/O)/N3CC3  ,0,121,O,
CC(C)(CCCCC(C)(C)C(=O)O)C(=O)O  ,0,122,O,
C1(=C(C(=C(C(=C1F)F)C(=O)[O-])F)F)C(=O)[O-]  ,0,123,O,
C1=CC(=CC=C1/C(=N/O)/Cl)/C(=N/O)/Cl  ,0,124,O,
C1=CC(=CC=C1C=NCCO)C=NCCO  ,0,125,O,
C(CCP(=O)(O)O)CP(=O)(O)O  ,0,1,P,
CC(C)(C1=CC=C(C=C1)OP(=O)(O)O)C2=CC=C(C=C2)OP(=O)(O)O  ,0,2,P,
C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)P(=O)(O)O)C(=O)NC4=CC=C(C=C4)P(=O)(O)O  ,0,3,P,
C1=CC(=CC=C1OP(=O)(O)O)OP(=O)(O)O  ,0,4,P,
C(CCCCOP(=O)(O)O)CCCOP(=O)(O)O  ,0,5,P,
C1=CC(=CC=C1NC(=O)CCCCCCC(=O)NC2=CC=C(C=C2)P(=O)(O)O)P(=O)(O)O  ,0,6,P,
C([C@H]([C@H]([C@H]([C@H](COP(=O)(O)O)O)O)O)O)OP(=O)(O)O  ,0,7,P,
CC1=CC(=CC(=C1P(=O)(O)O)C)C2=CC(=C(C(=C2)C)P(=O)(O)O)C  ,0,8,P,
CC(C)(P(=O)(O)O)P(=O)(O)O  ,0,9,P,
C1=CC(=CC=C1N=NC2=CC=C(C=C2)P(=O)(O)O)P(=O)(O)O  ,0,10,P,
C1=CC=C2C(=C1)C(=CC=[N+]2CCP(=O)(O)O)C3=CC=[N+](C4=CC=CC=C34)CCP(=O)(O)O  ,0,11,P,
C1=CC(=CC=C1C(F)(F)P(=O)(O)O)C(F)(F)P(=O)(O)O  ,0,12,P,
CC(C)(CCOCCOCCC(C)(C)COP(=O)(O)O)COP(=O)(O)O  ,0,13,P,
CC1=CC(=C(C=C1P(=O)(O)O)C)P(=O)(O)O  ,0,14,P,
CC(C)(CCC(=O)CCC(=O)CCC(C)(C)OP(=O)(O)O)OP(=O)(O)O  ,0,15,P,
C1=CC(=CC=C1CCP(=O)(O)O)C2=CC=C(C=C2)CCP(=O)(O)O  ,0,16,P,
CC1=C(C(=C(C(=C1C(CCC(=O)N)(CCC(=O)N)P(=O)(O)O)C)C)C(CCC(=O)N)(CCC(=O)N)P(=O)(O)O)C  ,0,17,P,
CCC(CC)(C1=CC(=C(C=C1C#N)C(CC)(CC)P(=O)(O)O)C#N)P(=O)(O)O  ,0,18,P,
C1=C[N+](=CC=C1C2=CC=[N+](C=C2)CCCP(=O)(O)O)CCCP(=O)(O)O  ,0,19,P,
C(CNCCP(=O)(O)O)NCCP(=O)(O)O  ,0,20,P,
C1CCN(CCC1)S(=O)(=O)C2=CC\3=C(/C(=N\OCOP(=O)(O)O)/C4=C(/C3=N\OCOP(=O)(O)O)C=CC(=C4)S(=O)(=O)N5CCCCCC5)C=C2  ,0,21,P,
CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)O)O)O  ,0,22,P,
C1=CC2=C(C=CC(=C2)P(=O)(O)O)C(=C1)C3=CC=CC4=C3C=CC(=C4)P(=O)(O)O  ,0,23,P,
C(CNC(=O)OCC(F)(F)P(=O)(O)O)NC(=O)OCC(F)(F)P(=O)(O)O  ,0,24,P,
C1=CC(=CC=C1CCP(=O)(O)O)NC(=O)CCCCCCCCC(=O)NC2=CC=C(C=C2)CCP(=O)(O)O  ,0,25,P,
CNC(C1=CC=C(C=C1)P(=O)(O)O)C(C2=CC=C(C=C2)P(=O)(O)O)NC  ,0,26,P,
C1=C(C(=CC(=C1OP(=O)(O)O)O)OP(=O)(O)O)O  ,0,27,P,
C1=CC=[N+](C(=C1)C=CC2=CC=CC=[N+]2CP(=O)(O)O)CP(=O)(O)O  ,0,28,P,
C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2P(=O)(O)O)P(=O)(O)O  ,0,29,P,
C1=CC(=CC=C1C2=CC=C(C=C2)P(=O)(O)O)C3=CC=C(C=C3)P(=O)(O)O  ,0,30,P,
C(C1=C(C(=C(C(=C1F)F)CP(=O)(O)O)F)F)P(=O)(O)O  ,0,31,P,
C1=CC(=CC=C1P(=O)(O)O)P(=O)(O)O  ,0,32,P,
C(=C/OP(=O)(O)O)\OP(=O)(O)O  ,0,33,P,
C1=C[N+](=CC=C1C=CC2=CC=[N+](C=C2)CP(=O)(O)O)CP(=O)(O)O  ,0,34,P,
C1=CN(C=CC1=C2C=CN(C=C2)CCP(=O)(O)O)CCP(=O)(O)O  ,1,35,P,
C1=C(C(=CC(=C1O)C(=O)OP(=O)(O)O)O)C(=O)OP(=O)(O)O  ,0,36,P,
N(=NP(=O)(O)O)P(=O)(O)O  ,0,37,P,
